caldt,vwretd,sprtrn
2019-09-17,0.002621,0.002582
2019-09-18,0.000336,0.000343
2019-09-19,0.000141,0.000020
2019-09-20,-0.004882,-0.004896
2019-09-23,-0.000063,-0.000097
2019-09-24,-0.008351,-0.008416
2019-09-25,0.006205,0.006159
2019-09-26,-0.002448,-0.002429
2019-09-27,-0.005145,-0.005316
2019-09-30,0.005126,0.005048
2019-10-01,-0.012230,-0.012258
2019-10-02,-0.017947,-0.017903
2019-10-03,0.008108,0.007972
2019-10-04,0.014223,0.014217
2019-10-07,-0.004477,-0.004478
2019-10-08,-0.015368,-0.015561
2019-10-09,0.009412,0.009105
2019-10-10,0.006456,0.006416
2019-10-11,0.011091,0.010939
2019-10-14,-0.001421,-0.001387
2019-10-15,0.009907,0.009956
2019-10-16,-0.001846,-0.002000
2019-10-17,0.002889,0.002763
2019-10-18,-0.003943,-0.003919
2019-10-21,0.006919,0.006872
2019-10-22,-0.003536,-0.003569
2019-10-23,0.002861,0.002847
2019-10-24,0.001989,0.001920
2019-10-25,0.003951,0.004073
2019-10-28,0.005625,0.005581
2019-10-29,-0.000959,-0.000832
2019-10-30,0.003366,0.003253
2019-10-31,-0.002915,-0.003023
2019-11-01,0.009649,0.009662
2019-11-04,0.003707,0.003704
2019-11-05,-0.001142,-0.001186
2019-11-06,0.000823,0.000703
2019-11-07,0.003209,0.002730
2019-11-08,0.002693,0.002561
2019-11-11,-0.002018,-0.001962
2019-11-12,0.001550,0.001565
2019-11-13,0.000776,0.000712
2019-11-14,0.001042,0.000837
2019-11-15,0.007663,0.007695
2019-11-18,0.000594,0.000503
2019-11-19,-0.000506,-0.000593
2019-11-20,-0.003602,-0.003756
2019-11-21,-0.001557,-0.001583
2019-11-22,0.002199,0.002175
2019-11-25,0.007650,0.007507
2019-11-26,0.002265,0.002196
2019-11-27,0.004273,0.004174
2019-11-29,-0.003796,-0.004011
2019-12-02,-0.008588,-0.008631
2019-12-03,-0.006563,-0.006638
2019-12-04,0.006336,0.006324
2019-12-05,0.001732,0.001500
2019-12-06,0.009108,0.009136
2019-12-09,-0.003052,-0.003163
2019-12-10,-0.001121,-0.001097
2019-12-11,0.002930,0.002908
2019-12-12,0.008631,0.008575
2019-12-13,0.000214,0.000073
2019-12-16,0.007038,0.007148
2019-12-17,0.000398,0.000335
2019-12-18,-0.000345,-0.000432
2019-12-19,0.004534,0.004459
2019-12-20,0.004896,0.004945
2019-12-23,0.000897,0.000866
2019-12-24,-0.000132,-0.000195
2019-12-26,0.005385,0.005128
2019-12-27,0.000028,0.000034
2019-12-30,-0.005631,-0.005781
2019-12-31,0.002954,0.002946
2020-01-02,0.008570,0.008379
2020-01-03,-0.006950,-0.007060
2020-01-06,0.003566,0.003533
2020-01-07,-0.002669,-0.002803
2020-01-08,0.004827,0.004902
2020-01-09,0.006939,0.006655
2020-01-10,-0.002841,-0.002855
2020-01-13,0.006957,0.006976
2020-01-14,-0.001388,-0.001515
2020-01-15,0.001782,0.001870
2020-01-16,0.008459,0.008367
2020-01-17,0.003742,0.003862
2020-01-21,-0.002617,-0.002652
2020-01-22,0.000322,0.000289
2020-01-23,0.001190,0.001141
2020-01-24,-0.009072,-0.009042
2020-01-27,-0.015637,-0.015731
2020-01-28,0.010117,0.010054
2020-01-29,-0.000904,-0.000867
2020-01-30,0.003377,0.003134
2020-01-31,-0.017209,-0.017706
2020-02-03,0.007296,0.007255
2020-02-04,0.014994,0.014980
2020-02-05,0.011113,0.011251
2020-02-06,0.003467,0.003326
2020-02-07,-0.005025,-0.005401
2020-02-10,0.007484,0.007326
2020-02-11,0.002015,0.001688
2020-02-12,0.006558,0.006463
2020-02-13,-0.001323,-0.001630
2020-02-14,0.001932,0.001844
2020-02-18,-0.002658,-0.002920
2020-02-19,0.004782,0.004706
2020-02-20,-0.003852,-0.003816
2020-02-21,-0.010591,-0.010518
2020-02-24,-0.033359,-0.033514
2020-02-25,-0.030269,-0.030280
2020-02-26,-0.003772,-0.003779
2020-02-27,-0.043781,-0.044163
2020-02-28,-0.008242,-0.008238
2020-03-02,0.045959,0.046039
2020-03-03,-0.028014,-0.028108
2020-03-04,0.042150,0.042203
2020-03-05,-0.033630,-0.033922
2020-03-06,-0.016819,-0.017054
2020-03-09,-0.075275,-0.075970
2020-03-10,0.049281,0.049396
2020-03-11,-0.048751,-0.048868
2020-03-12,-0.095036,-0.095113
2020-03-13,0.093205,0.092871
2020-03-16,-0.118970,-0.119841
2020-03-17,0.060242,0.059955
2020-03-18,-0.050477,-0.051831
2020-03-19,0.004670,0.004708
2020-03-20,-0.043187,-0.043360
2020-03-23,-0.028576,-0.029294
2020-03-24,0.092646,0.093828
2020-03-25,0.010971,0.011535
2020-03-26,0.062088,0.062414
2020-03-27,-0.033559,-0.033687
2020-03-30,0.033550,0.033516
2020-03-31,-0.015948,-0.016013
2020-04-01,-0.043645,-0.044142
2020-04-02,0.022726,0.022829
2020-04-03,-0.014551,-0.015137
2020-04-06,0.070015,0.070331
2020-04-07,-0.001665,-0.001603
2020-04-08,0.033801,0.034056
2020-04-09,0.014454,0.014487
2020-04-13,-0.009366,-0.010105
2020-04-14,0.030843,0.030573
